skill_name	source_repo	file_path	file_size	line_count
pydantic-models-py	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/pydantic-models-py//SKILL.md	1763	64
c4-context	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/c4-context//SKILL.md	5104	146
agentphone	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/agentphone//SKILL.md	46762	1384
pypict-skill	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/pypict-skill//SKILL.md	562	23
avalonia-layout-zafiro	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/avalonia-layout-zafiro//SKILL.md	2501	64
cal-com-automation	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/cal-com-automation//SKILL.md	7756	207
agents-md	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/agents-md//SKILL.md	4560	126
python-development-python-scaffold	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/python-development-python-scaffold//SKILL.md	8227	334
avalonia-viewmodels-zafiro	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/avalonia-viewmodels-zafiro//SKILL.md	1857	35
calendly-automation	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/calendly-automation//SKILL.md	10885	214
agents-v2-py	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/agents-v2-py//SKILL.md	9550	326
avalonia-zafiro-development	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/avalonia-zafiro-development//SKILL.md	1978	35
canva-automation	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/canva-automation//SKILL.md	8461	221
python-fastapi-development	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/python-fastapi-development//SKILL.md	5067	215
ai-agent-development	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/ai-agent-development//SKILL.md	3920	173
python-packaging	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/python-packaging//SKILL.md	1358	39
canvas-design	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/canvas-design//SKILL.md	12071	135
avoid-ai-writing	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/avoid-ai-writing//SKILL.md	2797	44
ai-agents-architect	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/ai-agents-architect//SKILL.md	9133	336
python-patterns	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/python-patterns//SKILL.md	10089	446
carrier-relationship-management	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/carrier-relationship-management//SKILL.md	23740	189
awareness-stage-mapper	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/awareness-stage-mapper//SKILL.md	5766	118
ai-analyzer	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/ai-analyzer//SKILL.md	7959	226
python-performance-optimization	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/python-performance-optimization//SKILL.md	1463	39
cc-skill-backend-patterns	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/cc-skill-backend-patterns//SKILL.md	13934	588
